seq,count
1,23
2,23
3,23
4,23
5,23
6,23
7,23
8,23
9,23
10,23
11,23
12,23
13,23
14,23
15,23
16,23
17,23
18,23
19,23
20,23
21,23
22,23
23,23
24,113
25,113
26,113
27,113
28,113
29,113
30,113
31,113
32,113
33,113
34,113
35,113
36,113
37,113
38,113
39,113
40,113
41,113
42,113
43,113
44,113
45,113
46,113
47,113
48,113
49,113
50,113
51,113
52,113
53,113
54,113
55,113
56,113
57,113
58,113
59,113
60,113
61,113
62,113
63,113
64,113
65,113
66,113
67,113
68,113
69,113
70,113
71,113
72,113
73,113
74,113
75,113
76,113
77,113
78,113
79,113
80,113
81,113
82,113
83,113
84,113
85,113
86,113
87,113
88,113
89,113
90,113
91,113
92,113
93,113
94,113
95,113
96,113
97,113
98,113
99,113
100,113
101,113
102,113
103,113
104,113
105,113
106,113
107,113
108,113
109,113
110,113
111,113
112,113
113,113
114,113
115,113
116,113
117,113
118,113
119,113
120,113
121,113
122,113
123,113
124,113
125,113
126,113
127,113
128,113
129,113
130,113
131,113
132,113
133,113
134,113
135,113
136,113
137,135
138,135
139,135
140,135
141,135
142,135
143,135
144,135
145,135
146,135
147,135
148,135
149,135
150,135
151,135
152,135
153,135
154,135
155,135
156,135
157,135
158,135
159,135
160,135
161,135
162,135
163,135
164,135
165,135
166,135
167,135
168,135
169,135
170,135
171,135
172,135
173,135
174,135
175,135
176,135
177,135
178,135
179,135
180,135
181,135
182,135
183,135
184,135
185,135
186,135
187,135
188,135
189,135
190,135
191,135
192,135
193,135
194,135
195,135
196,135
197,135
198,135
199,135
200,135
201,135
202,135
203,135
204,135
205,135
206,135
207,135
208,135
209,135
210,135
211,135
212,135
213,135
214,135
215,135
216,135
217,135
218,135
219,135
220,135
221,135
222,135
223,135
224,135
225,135
226,135
227,135
228,135
229,135
230,135
231,135
232,135
233,135
234,135
235,135
236,135
237,135
238,135
239,135
240,135
241,135
242,135
243,135
244,135
245,135
246,135
247,135
248,135
249,135
250,135
251,135
252,135
253,135
254,135
255,135
256,135
257,135
258,135
259,135
260,135
261,135
262,135
263,135
264,135
265,135
266,135
267,135
268,135
269,135
270,135
271,135
272,41
273,41
274,41
275,41
276,41
277,41
278,41
279,41
280,41
281,41
282,41
283,41
284,41
285,41
286,41
287,41
288,41
289,41
290,41
291,41
292,41
293,41
294,41
295,41
296,41
297,41
298,41
299,41
300,41
301,41
302,41
303,41
304,41
305,41
306,41
307,41
308,41
309,41
310,41
311,41
312,41
313,23
314,23
315,23
316,23
317,23
318,23
319,23
320,23
321,23
322,23
323,23
324,23
325,23
326,23
327,23
328,23
329,23
330,23
331,23
332,23
333,23
334,23
335,23
336,49
337,49
338,49
339,49
340,49
341,49
342,49
343,49
344,49
345,49
346,49
347,49
348,49
349,49
350,49
351,49
352,49
353,49
354,49
355,49
356,49
357,49
358,49
359,49
360,49
361,49
362,49
363,49
364,49
365,49
366,49
367,49
368,49
369,49
370,49
371,49
372,49
373,49
374,49
375,49
376,49
377,49
378,49
379,49
380,49
381,49
382,49
383,49
384,49
385,21
386,21
387,21
388,21
389,21
390,21
391,21
392,21
393,21
394,21
395,21
396,21
397,21
398,21
399,21
400,21
401,21
402,21
403,21
404,21
405,21
406,57
407,57
408,57
409,57
410,57
411,57
412,57
413,57
414,57
415,57
416,57
417,57
418,57
419,57
420,57
421,57
422,57
423,57
424,57
425,57
426,57
427,57
428,57
429,57
430,57
431,57
432,57
433,57
434,57
435,57
436,57
437,57
438,57
439,57
440,57
441,57
442,57
443,57
444,57
445,57
446,57
447,57
448,57
449,57
450,57
451,57
452,57
453,57
454,57
455,57
456,57
457,57
458,57
459,57
460,57
461,57
462,57
463,33
464,33
465,33
466,33
467,33
468,33
469,33
470,33
471,33
472,33
473,33
474,33
475,33
476,33
477,33
478,33
479,33
480,33
481,33
482,33
483,33
484,33
485,33
486,33
487,33
488,33
489,33
490,33
491,33
492,33
493,33
494,33
495,33
496,21
497,21
498,21
499,21
500,21
